company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ABB,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ABB,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ABB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
ABB,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
ABB,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ABB,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
ADANIENSOL,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
ADANIENSOL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
ADANIENSOL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
ADANIENT,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,88
ADANIENT,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
ADANIENT,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
ADANIENT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ADANIENT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
ADANIENT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ADANIENT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
ADANIGREEN,con,CON-01,Debt-to-equity ratio of 6.38 is elevated for a non-financial company and warrants monitoring,90
ADANIGREEN,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
ADANIGREEN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
ADANIGREEN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
ADANIPORTS,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
ADANIPORTS,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
ADANIPORTS,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ADANIPOWER,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ADANIPOWER,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ADANIPOWER,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
ADANIPOWER,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
ADANIPOWER,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ADANIPOWER,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
AMBUJACEM,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,88
AMBUJACEM,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85
AMBUJACEM,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
AMBUJACEM,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
APOLLOHOSP,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
APOLLOHOSP,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
APOLLOHOSP,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
APOLLOHOSP,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
ASIANPAINT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88
ASIANPAINT,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ASIANPAINT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ASIANPAINT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ASIANPAINT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
ASIANPAINT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
ASIANPAINT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ASIANPAINT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
ATGL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
ATGL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ATGL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
ATGL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
ATGL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
AXISBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
AXISBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
AXISBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
AXISBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
AXISBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BAJAJAUTO,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88
BAJAJAUTO,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BAJAJAUTO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
BAJAJAUTO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
BAJAJAUTO,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BAJAJFINSV,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,92
BAJAJFINSV,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88
BAJAJFINSV,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BAJAJFINSV,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
BAJAJFINSV,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
BAJAJFINSV,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BAJAJFINSV,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
BAJAJFINSV,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BAJAJHLDNG,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
BAJAJHLDNG,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
BAJAJHLDNG,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
BAJAJHLDNG,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
BAJAJHLDNG,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
BAJAJHLDNG,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
BAJAJHLDNG,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,84
BAJFINANCE,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,92
BAJFINANCE,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
BAJFINANCE,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
BAJFINANCE,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
BAJFINANCE,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
BAJFINANCE,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BAJFINANCE,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
BAJFINANCE,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
BAJFINANCE,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BANKBARODA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
BANKBARODA,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
